Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_value,Cmax_unit,Tmax_h,AUC0t_value,AUC0t_unit,AUC0inf_value,AUC0inf_unit,t_half_h,Clearance,Clearance_unit,Vd,Vd_unit,MRT_h,Notes
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Normal Gravity 1G,HDT -6 degrees,Ambulatory,6,Plasma,773.7,ng/mL,2.4,3177.4,ng/mL*h,NA,NA,3.7,90.5,L/h,457,L,6.5,Free ciprofloxacin AUC=2518.2 ng/mL*h; protein binding ~15%; MRT=6.5h
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Simulated Microgravity sµG,HDT -6 degrees,2 days 6-degree HDT,6,Plasma,692.1,ng/mL,2.5,3143.5,ng/mL*h,NA,NA,4.3,80.2,L/h,491,L,7.6,Free ciprofloxacin AUC=2546.5 ng/mL*h; no significant differences from 1G; MRT=7.6h
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Normal Gravity 1G,HDT -6 degrees,Ambulatory,5,Muscle (microdialysis),306.3,ng/mL,3.0,1860.7,ng/mL*h,NA,NA,4.2,NA,NA,NA,NA,7.6,Tissue penetration f=0.92; MRT muscle=7.6h
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Simulated Microgravity sµG,HDT -6 degrees,2 days 6-degree HDT,5,Muscle (microdialysis),293.7,ng/mL,4.2,1540.1,ng/mL*h,NA,NA,4.0,NA,NA,NA,NA,7.5,Tissue penetration f=0.61; slightly lower than 1G but not significant; MRT muscle=7.5h
DelloRusso2022_Table1a,Dello Russo et al. (citing Cintron 1987a),2022,Acetaminophen,650 (2x325),Tablets,Oral,Earth Pre-flight control,Space Shuttle,Ground control,5,Saliva,10.78,mg/mL,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax SD=1.68; Tmax SD=0 h; large intersubject variability in-flight
DelloRusso2022_Table1a,Dello Russo et al. (citing Cintron 1987a),2022,Acetaminophen,650 (2x325),Tablets,Oral,In-Flight Space Shuttle,Space Shuttle,Mission days 2-4,5,Saliva,11.40,mg/mL,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax SD=4.23; Tmax SD=0.37 h; significant changes in absorption phase; increased variability in-flight
DelloRusso2022_Table1b,Dello Russo et al. (citing Cintron 1987b),2022,Scopolamine/Dextroamphetamine,0.4/5,Capsules,Oral,Earth Pre-flight control,Space Shuttle,Ground control,3,Saliva,406.33,pg/mL,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax SD=169.09; Tmax SD=0.82h; large intersubject variability
DelloRusso2022_Table1b,Dello Russo et al. (citing Cintron 1987b),2022,Scopolamine/Dextroamphetamine,0.4/5,Capsules,Oral,In-Flight Space Shuttle,Space Shuttle,Mission days 0-3,4,Saliva,375.25,pg/mL,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax SD=194.38; Tmax SD=1.06h; Cmax trend reduced; Tmax trend increased
DelloRusso2022_Table1c,Dello Russo et al. (citing Polyakov 2021),2022,Acetaminophen,625,Film-coated tablets,Oral,Earth Pre-flight control,Real ISS/MIR,Ground control ~2 months before mission,8,Saliva,11.5,µg/mL,0.78,NA,NA,45.5,µg/mL*h,NA,NA,NA,NA,NA,Cmax SD=1.3; AUC0inf SD=3.71; Tmax SD=0.07h
DelloRusso2022_Table1c,Dello Russo et al. (citing Polyakov 2021),2022,Acetaminophen,625,Film-coated tablets,Oral,In-Flight MIR/ISS,Real MIR/ISS,Long-term spaceflight 127-414 days,5,Saliva,5.4,µg/mL,1.80,NA,NA,19.8,µg/mL*h,NA,NA,NA,NA,NA,Cmax SD=1.2; AUC0inf SD=2.8; Tmax SD=0.20h; t1/2 increased*; relative bioavailability 48.02% (significantly reduced)
DelloRusso2022_ADME,Dello Russo et al.,2022,General ADME review,NA,NA,NA,Space Physiological Summary,Real spaceflight,Long-term,Multiple,Blood/Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absorption: slower+unpredictable; Distribution: headward fluid shift lower Vd higher plasma concentration; Metabolism: CYP450 reduced ~50% (animal data); Excretion: decreased urinary excretion; Total body water -3%; Plasma volume decreased
